mal1g00001,,,,,
mal1g00002,opy300s33g00053,,,opy300s11g00001,
mal1g00003,.,,,opy300s11g00002,
mal1g00004,opy300s33g00054,,,opy300s11g00003,
mal1g00005,opy300s33g00055,,,.,
mal1g00006,.,,,opy300s11g00004,
mal1g00007,opy300s33g00056,,,opy300s11g00005,opy300s10g02205
mal1g00008,.,opy300s37g00692,opy300s38g00001,.,opy300s10g02204
mal1g00009,opy300s33g00059,opy300s37g00693,opy300s38g00002,.,opy300s10g02203
mal1g00010,opy300s33g00061,.,opy300s38g00005,opy300s11g00006,opy300s10g02202
mal1g00011,opy300s33g00062,.,.,.,.
mal1g00012,.,.,.,opy300s11g00007,.
mal1g00013,.,opy300s37g00694,opy300s38g00007,.,opy300s10g02201
mal1g00014,.,.,opy300s38g00008,opy300s11g00008,.
mal1g00015,.,.,.,opy300s11g00009,.
mal1g00016,opy300s33g00022,.,opy300s38g00010,opy300s11g00010,.
mal1g00017,.,.,opy300s38g00011,.,opy300s10g02199
mal1g00018,.,.,.,.,.
mal1g00019,.,.,.,opy300s11g00012,opy300s10g02197
mal1g00020,.,.,opy300s38g00012,opy300s11g00013,.
mal1g00021,opy300s33g00021,.,.,opy300s11g00014,opy300s10g02196
mal1g00022,.,.,.,opy300s11g00015,opy300s10g02195
mal1g00023,.,.,.,opy300s11g00016,.
mal1g00024,.,.,.,opy300s11g00017,.
mal1g00025,.,.,.,opy300s11g00018,.
mal1g00026,.,.,opy300s38g00013,opy300s11g00019,.
mal1g00027,.,.,.,opy300s11g00020,opy300s10g02194
mal1g00028,.,.,opy300s38g00014,.,.
mal1g00029,.,.,opy300s38g00015,.,.
mal1g00030,.,.,.,opy300s11g00021,.
mal1g00031,.,.,opy300s38g00016,.,opy300s10g02193
mal1g00032,.,.,.,.,.
mal1g00033,.,opy300s37g00695,.,.,opy300s10g02192
mal1g00034,.,.,opy300s38g00017,.,.
mal1g00035,.,.,opy300s38g00018,opy300s11g00022,.
mal1g00036,.,.,opy300s38g00019,.,.
mal1g00037,.,.,.,.,.
mal1g00038,.,.,.,.,.
mal1g00039,.,.,.,.,.
mal1g00040,.,.,.,.,.
mal1g00041,.,.,.,.,.
mal1g00042,.,.,.,.,.
mal1g00043,.,.,opy300s38g00020,opy300s11g00023,.
mal1g00044,.,.,.,opy300s11g00024,.
mal1g00045,.,.,.,opy300s11g00025,.
mal1g00046,opy300s33g00020,.,.,opy300s11g00026,opy300s10g02191
mal1g00047,.,.,.,.,.
mal1g00048,.,.,opy300s38g00021,opy300s11g00027,opy300s10g02190
mal1g00049,.,.,opy300s38g00022,opy300s11g00028,opy300s10g02189
