qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,1,2,3,4,0.9969278033794163,0.0,0.0030721966205837174,651.0
2,1,2,3,5,0.45364238410596025,0.26158940397350994,0.2847682119205298,302.0
3,1,2,4,5,0.45302013422818793,0.26174496644295303,0.28523489932885904,298.0
4,1,3,4,5,0.002652519893899204,0.002652519893899204,0.9946949602122016,377.0
5,2,3,4,5,0.005952380952380952,0.002976190476190476,0.9910714285714286,336.0
6,1,2,3,6,0.45042492917847027,0.2747875354107649,0.2747875354107649,353.0
7,1,2,4,6,0.45244956772334294,0.2737752161383285,0.2737752161383285,347.0
8,1,3,4,6,0.0044742729306487695,0.0,0.9955257270693513,447.0
9,2,3,4,6,0.002570694087403599,0.0,0.9974293059125964,389.0
10,1,2,5,6,0.8049792531120332,0.0995850622406639,0.0954356846473029,241.0
11,1,3,5,6,0.7745098039215687,0.13398692810457516,0.0915032679738562,306.0
12,2,3,5,6,0.8576779026217228,0.0749063670411985,0.06741573033707865,267.0
13,1,4,5,6,0.7755775577557755,0.1353135313531353,0.0891089108910891,303.0
14,2,4,5,6,0.8560606060606061,0.07575757575757576,0.06818181818181818,264.0
15,3,4,5,6,0.9970588235294118,0.0029411764705882353,0.0,340.0
16,1,2,3,7,0.4474187380497132,0.28107074569789675,0.27151051625239003,523.0
17,1,2,4,7,0.44854368932038835,0.2815533980582524,0.26990291262135924,515.0
18,1,3,4,7,0.004777070063694267,0.0015923566878980893,0.9936305732484076,628.0
19,2,3,4,7,0.0035211267605633804,0.0,0.9964788732394366,568.0
20,1,2,5,7,0.8988095238095238,0.05952380952380952,0.041666666666666664,168.0
21,1,3,5,7,0.8902439024390244,0.06097560975609756,0.04878048780487805,246.0
22,2,3,5,7,0.8926829268292683,0.04390243902439024,0.06341463414634146,205.0
23,1,4,5,7,0.8879668049792531,0.06224066390041494,0.04979253112033195,241.0
24,2,4,5,7,0.895,0.045,0.06,200.0
25,3,4,5,7,0.9965397923875432,0.0034602076124567475,0.0,289.0
26,1,2,6,7,0.8761467889908257,0.06880733944954129,0.05504587155963303,218.0
