qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,1,2,3,4,0.8190630048465266,0.10662358642972536,0.07431340872374798,619.0
2,1,2,3,5,0.8363228699551569,0.07399103139013453,0.08968609865470852,446.0
3,1,2,4,5,0.7928730512249443,0.08685968819599109,0.12026726057906459,449.0
4,1,3,4,5,0.22857142857142856,0.4247619047619048,0.3466666666666667,525.0
5,2,3,4,5,0.22762951334379905,0.43956043956043955,0.3328100470957614,637.0
6,1,2,3,6,0.4032258064516129,0.2161290322580645,0.38064516129032255,620.0
7,1,2,4,6,0.4096774193548387,0.21451612903225806,0.3758064516129032,620.0
8,1,3,4,6,0.035479632063074903,0.04993429697766097,0.9145860709592641,761.0
9,2,3,4,6,0.08552631578947369,0.14144736842105263,0.7730263157894737,912.0
10,1,2,5,6,0.39643652561247217,0.22939866369710468,0.3741648106904232,449.0
11,1,3,5,6,0.04419889502762431,0.03314917127071823,0.9226519337016574,543.0
12,2,3,5,6,0.11128775834658187,0.08744038155802862,0.8012718600953895,629.0
13,1,4,5,6,0.059813084112149535,0.05046728971962617,0.8897196261682243,535.0
14,2,4,5,6,0.15141955835962145,0.09305993690851735,0.7555205047318612,634.0
15,3,4,5,6,0.32605905006418484,0.43517329910141206,0.23876765083440307,779.0
16,1,2,3,7,0.8178913738019169,0.10063897763578275,0.08146964856230032,626.0
17,1,2,4,7,0.919175911251981,0.02694136291600634,0.05388272583201268,631.0
18,1,3,4,7,0.8639896373056994,0.07901554404145078,0.05699481865284974,772.0
19,2,3,4,7,0.8360128617363344,0.11146838156484459,0.05251875669882101,933.0
20,1,2,5,7,0.802660753880266,0.10864745011086474,0.08869179600886919,451.0
21,1,3,5,7,0.22752293577981653,0.3339449541284404,0.43853211009174314,545.0
22,2,3,5,7,0.22932917316692666,0.32605304212168484,0.44461778471138846,641.0
23,1,4,5,7,0.08302583025830258,0.8708487084870848,0.046125461254612546,542.0
24,2,4,5,7,0.10752688172043011,0.8448540706605223,0.047619047619047616,651.0
25,3,4,5,7,0.05025125628140704,0.8969849246231156,0.052763819095477386,796.0
26,1,2,6,7,0.4064,0.3696,0.224,625.0
27,1,3,6,7,0.036989795918367346,0.9247448979591837,0.03826530612244898,784.0
28,2,3,6,7,0.09031556039173014,0.7823721436343852,0.12731229597388466,919.0
29,1,4,6,7,0.02570694087403599,0.9588688946015425,0.015424164524421594,778.0
30,2,4,6,7,0.06587473002159827,0.906047516198704,0.028077753779697623,926.0
31,3,4,6,7,0.051056338028169015,0.8776408450704225,0.07130281690140845,1136.0
32,1,5,6,7,0.04159132007233273,0.9113924050632911,0.04701627486437613,553.0
33,2,5,6,7,0.09119496855345911,0.7672955974842768,0.14150943396226415,636.0
34,3,5,6,7,0.4455569461827284,0.2327909887359199,0.3216520650813517,799.0
35,4,5,6,7,0.045112781954887216,0.06265664160401002,0.8922305764411027,798.0
36,1,2,3,8,0.40186915887850466,0.21339563862928349,0.3847352024922118,642.0
37,1,2,4,8,0.40683229813664595,0.2096273291925466,0.38354037267080743,644.0
38,1,3,4,8,0.035668789808917196,0.048407643312101914,0.9159235668789809,785.0
39,2,3,4,8,0.09005235602094241,0.1424083769633508,0.7675392670157068,955.0
40,1,2,5,8,0.38913043478260867,0.2326086956521739,0.3782608695652174,460.0
41,1,3,5,8,0.04512635379061372,0.039711191335740074,0.9151624548736462,554.0
