mal1g00001,,,
mal1g00002,dz186s21g00477,dz186s8g00566,
mal1g00003,.,dz186s8g00567,
mal1g00004,.,dz186s8g00568,
mal1g00005,dz186s21g00478,.,
mal1g00006,.,dz186s8g00569,
mal1g00007,.,dz186s8g00570,dz186s22g00001
mal1g00008,.,dz186s8g00571,.
mal1g00009,dz186s21g00480,dz186s8g00572,.
mal1g00010,dz186s21g00481,dz186s8g00573,dz186s22g00002
mal1g00011,.,.,dz186s22g00003
mal1g00012,.,dz186s8g00574,dz186s22g00004
mal1g00013,dz186s21g00482,dz186s8g00575,dz186s22g00005
mal1g00014,.,dz186s8g00576,dz186s22g00006
mal1g00015,.,.,.
mal1g00016,dz186s21g00483,dz186s8g00578,dz186s22g00007
mal1g00017,.,dz186s8g00579,.
mal1g00018,.,dz186s8g00580,dz186s22g00008
mal1g00019,dz186s21g00484,dz186s8g00581,dz186s22g00009
mal1g00020,dz186s21g00485,dz186s8g00582,.
mal1g00021,dz186s21g00486,dz186s8g00583,dz186s22g00010
mal1g00022,.,.,dz186s22g00011
mal1g00023,dz186s21g00487,dz186s8g00584,dz186s22g00012
mal1g00024,dz186s21g00488,.,.
mal1g00025,.,.,dz186s22g00013
mal1g00026,.,.,dz186s22g00014
mal1g00027,.,.,dz186s22g00015
mal1g00028,.,.,.
mal1g00029,.,dz186s8g00585,.
mal1g00030,.,.,dz186s22g00016
mal1g00031,dz186s21g00489,dz186s8g00586,dz186s22g00017
mal1g00032,.,.,.
mal1g00033,.,dz186s8g00589,.
mal1g00034,.,.,dz186s22g00018
mal1g00035,.,dz186s8g00590,dz186s22g00019
mal1g00036,.,dz186s8g00593,.
mal1g00037,.,.,.
mal1g00038,.,.,.
mal1g00039,.,.,.
mal1g00040,.,.,.
mal1g00041,.,.,.
mal1g00042,.,.,.
mal1g00043,.,.,dz186s22g00020
mal1g00044,dz186s21g00490,dz186s8g00594,dz186s22g00021
mal1g00045,dz186s21g00491,.,dz186s22g00022
mal1g00046,dz186s21g00492,dz186s8g00595,dz186s22g00023
mal1g00047,.,dz186s8g00596,.
mal1g00048,.,dz186s8g00597,dz186s22g00024
mal1g00049,dz186s21g00493,dz186s8g00598,dz186s22g00025
mal1g00050,dz186s21g00494,.,dz186s22g00026
mal1g00051,dz186s21g00495,.,dz186s22g00027
mal1g00052,.,dz186s8g00599,dz186s22g00028
mal1g00053,.,.,.
mal1g00054,.,.,dz186s22g00029
mal1g00055,.,dz186s8g00600,.
mal1g00056,.,.,.
mal1g00057,.,dz186s8g00602,dz186s22g00030
mal1g00058,.,.,dz186s22g00031
mal1g00059,.,.,dz186s22g00035
mal1g00060,dz186s21g00496,.,dz186s22g00036
mal1g00061,.,.,dz186s22g00037
mal1g00062,.,dz186s8g00603,dz186s22g00038
mal1g00063,.,.,dz186s22g00039
mal1g00064,.,dz186s8g00604,dz186s22g00040
mal1g00065,.,.,dz186s22g00041
mal1g00066,.,dz186s8g00605,dz186s22g00042
mal1g00067,dz186s21g00497,.,dz186s22g00043
mal1g00068,.,.,dz186s22g00044
mal1g00069,dz186s21g00498,dz186s8g00606,dz186s22g00045
mal1g00070,.,dz186s8g00607,dz186s22g00046
mal1g00071,.,.,dz186s22g00047
mal1g00072,dz186s21g00499,dz186s8g00608,.
mal1g00073,dz186s21g00500,.,dz186s22g00048
mal1g00074,dz186s21g00501,.,dz186s22g00049
mal1g00075,dz186s21g00502,.,dz186s22g00050
mal1g00076,dz186s21g00503,dz186s8g00609,dz186s22g00051
mal1g00077,dz186s21g00504,.,.
mal1g00078,.,.,dz186s22g00052
mal1g00079,dz186s21g00505,.,dz186s22g00053
mal1g00080,.,.,.
mal1g00081,dz186s21g00506,dz186s8g00610,dz186s22g00054
mal1g00082,dz186s21g00507,.,dz186s22g00055
mal1g00083,.,.,.
mal1g00084,.,.,.
mal1g00085,dz186s21g00508,.,dz186s22g00056
mal1g00086,.,.,dz186s22g00057
mal1g00087,.,.,dz186s22g00058
mal1g00088,.,dz186s8g00611,.
mal1g00089,.,.,dz186s22g00059
mal1g00090,.,.,dz186s22g00060
mal1g00091,dz186s21g00509,.,dz186s22g00061
mal1g00092,dz186s21g00510,dz186s8g00612,dz186s22g00062
mal1g00093,.,.,dz186s22g00063
mal1g00094,.,dz186s8g00613,dz186s22g00064
mal1g00095,dz186s21g00511,dz186s8g00614,dz186s22g00065
mal1g00096,.,.,dz186s22g00066
mal1g00097,.,.,.
mal1g00098,.,.,.
mal1g00099,.,dz186s8g00615,.
mal1g00100,.,.,.
mal1g00101,dz186s21g00512,dz186s8g00616,.
mal1g00102,dz186s21g00513,dz186s8g00617,dz186s22g00067
mal1g00103,.,.,dz186s22g00068
mal1g00104,.,dz186s8g00618,dz186s22g00069
mal1g00105,dz186s21g00514,.,.
mal1g00106,.,.,dz186s22g00070
mal1g00107,.,dz186s8g00619,.
mal1g00108,.,.,.
mal1g00109,.,dz186s8g00620,.
mal1g00110,dz186s21g00515,.,dz186s22g00071
mal1g00111,dz186s21g00516,dz186s8g00621,dz186s22g00072
mal1g00112,.,dz186s8g00623,dz186s22g00074
mal1g00113,dz186s21g00517,.,dz186s22g00075
