cca301s1g00043,cpa1s1g00620,dz186s6g00774,ga198s11g03403,hli2s8g00012,hum1sNW_018397273.1g00053,opy300s25g00677,tc180s4g00387
cca301s1g00051,cpa1s1g00611,dz186s16g00013,ga198s7g02698,hli2s8g00016,hum1sNW_018397273.1g00043,opy300s32g01184,tc180s4g00378
cca301s1g00135,cpa1s1g00531,dz186s9g01324,ga198s9g00485,hli2s4g00083,hum1sNW_018397279.1g00305,opy300s34g00069,tc180s4g00284
cca301s1g00187,cpa1s8g00427,dz186s4g00149,ga198s11g00414,hli2s19g01987,hum1sNW_018397259.1g01101,opy300s28g01093,tc180s5g02047
cca301s1g00278,cpa1s1g00414,dz186s9g01255,ga198s4g01454,hli2s8g00127,hum1sNW_018397279.1g00191,opy300s32g01062,tc180s4g00174
cca301s1g00282,cpa1s1g00409,dz186s16g00139,ga198s10g01945,hli2s8g00131,hum1sNW_018397279.1g00185,opy300s20g00092,tc180s4g00167
cca301s1g00286,cpa1s1g00404,dz186s9g01246,ga198s10g01946,hli2s4g00172,hum1sNW_018397279.1g00178,opy300s20g00089,tc180s4g00161
cca301s1g00293,cpa1s1g00403,dz186s9g01242,ga198s7g02602,hli2s4g00174,hum1sNW_018397279.1g00174,opy300s17g00706,tc180s4g00157
cca301s1g00352,cpa1s1g00350,dz186s9g01204,ga198s4g01487,hli2s4g00211,hum1sNW_018397279.1g00120,opy300s32g01023,tc180s4g00108
cca301s1g00360,cpa1s1g00334,dz186s16g00170,ga198s4g01490,hli2s4g00218,hum1sNW_018397279.1g00112,opy300s25g00639,tc180s4g00099
cca301s1g00373,cpa1s1g00330,dz186s9g01188,ga198s7g02569,hli2s4g00226,hum1sNW_018397279.1g00102,opy300s17g00751,tc180s4g00091
cca301s1g00438,cpa1s8g01273,dz186s9g01155,ga198s7g02545,hli2s8g00203,hum1sNW_018397279.1g00059,opy300s17g00778,tc180s4g00049
cca301s1g00477,cpa1s1g01725,dz186s16g00215,ga198s7g02531,hli2s4g00282,hum1sNW_018397279.1g00036,opy300s17g00793,tc180s4g00024
cca301s1g00570,cpa1s6g01721,dz186s19g00068,ga198s10g01790,hli2s18g01222,hum1sNW_018397264.1g00100,opy300s29g00952,tc180s1g01187
cca301s1g00620,cpa1s6g01684,dz186s19g00039,ga198s10g01828,hli2s6g00039,hum1sNW_018397264.1g00063,opy300s29g00980,tc180s4g01033
cca301s1g00636,cpa1s6g01636,dz186s19g00023,ga198s3g00020,hli2s18g01275,hum1sNW_018397264.1g00042,opy300s39g00022,tc180s4g01015
cca301s1g00670,cpa1s1g00008,dz186s13g01210,ga198s11g02235,hli2s14g00029,hum1sNW_018397264.1g00006,opy300s12g03198,tc180s4g00982
cca301s1g00686,cpa1s1g00020,dz186s5g01607,ga198s7g00854,hli2s9g00777,hum1sNW_018397279.1g00092,opy300s14g00100,tc180s4g00975
cca301s1g00689,cpa1s1g02225,dz186s27g00002,ga198s5g01891,hli2s7g01082,hum1sNW_018397260.1g00516,opy300s40g00003,tc180s8g00744
cca301s1g00776,cpa1s1g01388,dz186s2g01827,ga198s1g01107,hli2s7g01057,hum1sNW_018397260.1g00800,opy300s9g01341,tc180s8g00483
cca301s1g00807,cpa1s1g01419,dz186s2g01803,ga198s3g01058,hli2s7g01039,hum1sNW_018397260.1g00835,opy300s18g00607,tc180s8g00453
cca301s1g00845,cpa1s4g00614,dz186s9g00739,ga198stig00000545g00005,hli2s8g01282,hum1sNW_018397255.1g00045,opy300s17g00023,tc180s1g00046
cca301s1g00958,cpa1s3g02420,dz186s16g00487,ga198s9g00023,hli2s4g00595,hum1sNW_018397258.1g01438,opy300s34g00469,tc180s1g01804
cca301s1g01017,cpa1s1g01652,dz186s18g00041,ga198s13g01529,hli2s7g00106,hum1sNW_018397262.1g00082,opy300s44g00251,tc180sUn_randomg00075
cca301s1g01020,cpa1s1g01647,dz186s18g00044,ga198s5g02938,hli2s11g01285,hum1sNW_018397262.1g00085,opy300s38g00490,tc180s8g01364
