cpa1s1g00270,cca301s1g00501,tc180s4g00001,hum1sNW_018397279.1g00002,,,dz186s5g01627,,,,,,,,,,,,
cpa1s1g00265,.,tc180s4g00002,hum1sNW_018397279.1g00003,,,dz186s5g01626,,,,,,,,,,,,
cpa1s1g00264,cca301s1g00500,tc180s4g00003,hum1sNW_018397279.1g00005,,,dz186s5g01625,,,,,,,,,,,,
.,cca301s1g00499,tc180s4g00004,hum1sNW_018397279.1g00006,,,.,,,,,,,,,,,,
.,cca301s1g00498,tc180s4g00005,hum1sNW_018397279.1g00007,,,.,,,,,,,,,,,,
.,.,tc180s4g00006,hum1sNW_018397279.1g00009,,,.,,,,,,,,,,,,
cpa1s1g00253,.,tc180s4g00007,hum1sNW_018397279.1g00014,,,dz186s5g01613,,,,,,,,,,,,
cpa1s1g00252,cca301s1g00495,tc180s4g00008,hum1sNW_018397279.1g00015,,,dz186s5g01612,,,,,,,,,,,,
cpa1s1g00249,.,tc180s4g00009,hum1sNW_018397279.1g00016,,,.,,,,,,,,,,,,
,.,tc180s4g00010,.,,,.,,,,,,,,,,,,
cpa1s1g00877,cca301s1g00493,tc180s4g00011,hum1sNW_018397279.1g00017,,dz186s16g00222,dz186s9g01126,,hli2s4g00292,,,opy300s17g00802,opy300s32g00971,,,,,ga198s4g01532,
cpa1s1g00874,.,tc180s4g00012,hum1sNW_018397279.1g00020,dz186s6g00905,.,dz186s9g01127,hli2s8g00225,hli2s4g00291,,,opy300s17g00801,opy300s32g00972,,,,ga198s7g02523,ga198s4g01530,
cpa1s1g00873,cca301s1g00487,tc180s4g00013,hum1sNW_018397279.1g00021,.,dz186s16g00221,.,.,hli2s4g00290,,,opy300s17g00800,.,opy300s34g00210,,,.,.,ga198s9g00306
cpa1s1g00872,cca301s1g00486,tc180s4g00014,hum1sNW_018397279.1g00022,.,dz186s16g00220,dz186s9g01128,.,.,,,opy300s17g00799,.,.,,,ga198s7g02524,.,ga198s9g00307
cpa1s1g00871,cca301s1g00485,tc180s4g00015,hum1sNW_018397279.1g00023,.,.,dz186s9g01129,hli2s8g00224,hli2s4g00289,,,.,.,opy300s34g00209,,,.,.,ga198s9g00308
.,.,tc180s4g00016,hum1sNW_018397279.1g00026,.,dz186s16g00219,dz186s9g01130,.,hli2s4g00287,,,opy300s17g00798,.,.,,,ga198s7g02525,.,.
cpa1s1g00870,cca301s1g00484,tc180s4g00017,hum1sNW_018397279.1g00027,dz186s6g00906,.,dz186s9g01131,.,.,,,opy300s17g00797,.,opy300s34g00208,,,ga198s7g02526,.,.
cpa1s1g00868,cca301s1g00482,tc180s4g00018,hum1sNW_018397279.1g00028,dz186s6g00907,dz186s16g00218,dz186s9g01132,.,.,,,opy300s17g00796,opy300s32g00973,.,,,ga198s7g02527,ga198s4g01529,.
cpa1s1g00867,cca301s1g00480,tc180s4g00019,hum1sNW_018397279.1g00029,.,dz186s16g00217,.,.,hli2s4g00286,,,.,.,.,,,.,.,.
cpa1s1g00866,cca301s1g00479,tc180s4g00020,hum1sNW_018397279.1g00030,.,dz186s16g00216,.,.,hli2s4g00284,,,opy300s17g00795,.,.,,,ga198s7g02528,.,.
cpa1s1g00865,.,tc180s4g00021,.,dz186s6g00908,.,dz186s9g01133,.,.,,,.,.,opy300s34g00207,,,.,.,ga198s9g00309
,cca301s1g00478,tc180s4g00022,hum1sNW_018397279.1g00032,.,.,dz186s9g01134,.,hli2s4g00283,,,opy300s17g00794,opy300s32g00974,.,,,ga198s7g02530,.,.
,.,tc180s4g00023,hum1sNW_018397279.1g00033,.,.,.,.,.,,,.,.,.,,ga198s11g03366,.,.,.
,cca301s1g00477,tc180s4g00024,hum1sNW_018397279.1g00036,.,dz186s16g00215,.,.,hli2s4g00282,,,opy300s17g00793,.,.,,.,ga198s7g02531,.,.
,.,tc180s4g00025,hum1sNW_018397279.1g00037,.,dz186s16g00212,dz186s9g01135,hli2s8g00221,.,,,opy300s17g00791,.,.,,.,ga198s7g02533,.,.
,cca301s1g00473,tc180s4g00026,hum1sNW_018397279.1g00038,.,dz186s16g00211,dz186s9g01136,hli2s8g00220,hli2s4g00280,opy300s20g00057,opy300s25g00605,.,.,opy300s34g00205,,.,.,.,ga198s9g00311
,.,tc180s4g00027,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.
,cca301s1g00472,tc180s4g00028,hum1sNW_018397279.1g00039,.,dz186s16g00210,dz186s5g01603,hli2s8g00219,hli2s4g00279,.,opy300s25g00607,.,opy300s32g00975,.,,ga198s11g03367,.,ga198s4g01527,.
,cca301s1g00471,tc180s4g00029,hum1sNW_018397279.1g00040,dz186s6g00909,dz186s16g00209,dz186s9g01138,.,hli2s4g00278,.,opy300s25g00608,.,opy300s32g00976,opy300s34g00204,ga198s10g01968,.,.,ga198s4g01526,ga198s9g00312
,.,tc180s4g00030,hum1sNW_018397279.1g00042,.,dz186s16g00208,.,hli2s8g00218,hli2s4g00277,.,opy300s25g00609,.,opy300s32g00977,.,.,.,.,ga198s4g01525,.
,cca301s1g00468,tc180s4g00031,hum1sNW_018397279.1g00043,.,.,dz186s9g01139,hli2s8g00216,hli2s4g00276,.,opy300s25g00610,.,opy300s32g00978,opy300s34g00203,.,ga198s11g03368,.,.,.
,cca301s1g00458,tc180s4g00032,hum1sNW_018397279.1g00044,.,dz186s16g00207,dz186s9g01140,hli2s8g00215,hli2s4g00275,.,opy300s25g00611,opy300s17g00788,opy300s32g00979,.,.,ga198s11g03369,.,ga198s4g01523,.
,.,tc180s4g00033,hum1sNW_018397279.1g00045,.,dz186s16g00206,.,hli2s8g00214,hli2s4g00274,.,.,.,.,.,.,.,.,.,.
,cca301s1g00451,tc180s4g00034,hum1sNW_018397279.1g00046,.,dz186s16g00204,dz186s9g01141,hli2s8g00213,hli2s4g00272,.,opy300s25g00612,opy300s17g00787,.,.,.,.,.,.,.
,.,tc180s4g00035,.,.,dz186s16g00203,dz186s9g01142,hli2s8g00212,hli2s4g00268,.,.,.,.,.,.,.,.,.,.
,.,tc180s4g00036,hum1sNW_018397279.1g00047,dz186s6g00911,dz186s16g00202,dz186s9g01143,hli2s8g00210,hli2s4g00267,.,.,.,opy300s32g00980,opy300s34g00202,.,.,.,.,.
,cca301s1g00449,tc180s4g00037,hum1sNW_018397279.1g00048,.,.,dz186s9g01144,hli2s8g00209,hli2s4g00266,.,opy300s25g00613,.,opy300s32g00981,opy300s34g00201,.,.,.,ga198s4g01522,ga198s9g00315
,.,tc180s4g00038,hum1sNW_018397279.1g00049,.,dz186s16g00201,.,.,hli2s4g00264,.,.,opy300s17g00786,.,opy300s34g00200,.,.,.,.,ga198s9g00318
